date,customer_id,product_category,payment_method,value [USD],time_on_site [Minutes],clicks_in_site,marketing_channel
23/11/2020,13873,505,credit,49.53,12,8,YouTube Ads
23/11/2020,17021,509,paypal,50.61,25.9,8,Facebook Ads
23/11/2020,19213,507,credit,85.99,34.9,11,Facebook Ads
23/11/2020,14060,506,credit,34.6,16.5,9,Facebook Ads
23/11/2020,9255,515,paypal,266.27,43.1,30,Facebook Ads
23/11/2020,13825,501,credit,193.78,14,10,Facebook Ads
23/11/2020,2019,514,paypal,61.22,11.6,8,Facebook Ads
23/11/2020,2829,505,paypal,11.18,3.1,7,Facebook Ads
23/11/2020,11825,515,paypal,144.01,38.3,6,Facebook Ads
23/11/2020,11139,512,credit,447.92,41.8,19,Facebook Ads
23/11/2020,13550,509,paypal,144.87,7.8,13,Facebook Ads
23/11/2020,11730,512,credit,102.76,15.6,9,Facebook Ads
23/11/2020,16383,509,paypal,91.58,8,6,Facebook Ads
23/11/2020,16281,503,credit,28.43,12.2,8,Facebook Ads
23/11/2020,18586,506,paypal,56.04,17,10,Facebook Ads
23/11/2020,12014,514,paypal,3.69,4.3,6,Facebook Ads
23/11/2020,14086,503,paypal,8.86,38.1,0,Facebook Ads
23/11/2020,1370,514,credit,59.55,38.6,10,Facebook Ads
23/11/2020,1582,514,paypal,132.85,34.5,8,Facebook Ads
23/11/2020,2253,510,paypal,41.69,44.2,8,Facebook Ads
23/11/2020,17533,514,paypal,234.7,24.8,0,Facebook Ads
23/11/2020,12682,508,credit,87.44,13.5,11,Facebook Ads
23/11/2020,10267,508,paypal,152.93,9,16,Facebook Ads
23/11/2020,76,514,paypal,30,11.8,7,Google Search Ads
23/11/2020,13322,511,paypal,11.8,6.6,6,Facebook Ads
23/11/2020,11884,509,paypal,48.93,20.6,8,Google Search Ads
23/11/2020,13182,508,paypal,169.23,56.7,9,Email Marketing
23/11/2020,15011,504,credit,56.2,10.8,0,Email Marketing
23/11/2020,499,514,paypal,370.11,49.7,7,Google Search Ads
23/11/2020,15509,512,credit,201.99,19.5,22,Email Marketing
23/11/2020,12278,505,credit,84.1,16.3,14,Facebook Ads
23/11/2020,19655,514,paypal,198.55,34.2,10,Email Marketing
